;SymbolsA;EntrezsA;logFC;AveExpr;t;P.Value;adj.P.Val;B;logFC validation;P.H.T12;P.H.T3;SBA12_B05.P.H.T12_1;SBA39_E07.P.H.T12_2;SBA60_A07.P.H.T12_1;SB12_A09.P.H.T3_1;SB39_E05.P.H.T3_2;SB60_A05.P.H.T3_1;s.post;s.unscaled;t.ord;p.ord;df.res;s.res;s.prior;df.prior
16903897;NR4A2;4929;-2,6390444786855;4,25484222120856;-6,39185900897265;9,24331122710084e-06;0,0916289441942506;-1,35236013793147;-2,6390444786855;3,41336016424775;6,05240464293325;3,46250098259007;3,38250536328309;3,39507414687008;6,5509750098765;5,76840498116709;5,83783393775615;0,505667629105583;0,816496580927726;-4,85209998358723;0,00185185313806814;7;0,666135529271344;0,327880125085604;8,8819669997526
16926200;SIK1;150094;-1,34475928070018;5,00048211754759;-5,42380280642055;5,77312425231939e-05;0,240385444278563;-1,77742802757034;-1,34475928070018;4,70288538220093;6,04764466290111;4,94108093543238;4,57878847292345;4,58878673824695;6,38432190774347;5,93537244706669;5,82323963389317;0,303659091430119;0,816496580927726;-6,10414839370556;0,000489078552947336;7;0,269814382951784;0,327880125085604;8,8819669997526
16911201;CHGB;1114;-1,52560851093881;3,03646723831584;-5,30606483856535;7,27485456305546e-05;0,240385444278563;-1,83621353416906;-1,52560851093881;2,5037709360645;4,0293794470033;2,96121471140892;1,91035512876496;2,63974296801961;4,03229904886965;4,10620746372526;3,949631828415;0,352140664762186;0,816496580927726;-4,90795260045218;0,00173730552581366;7;0,380704817595735;0,327880125085604;8,8819669997526
17075868;MIR4288;100422903;-1,39313378443419;3,40647350995414;-5,05215778638178;0,000120472502798771;0,298560980061055;-1,96859473299984;-1,39313378443419;2,53824913094779;3,93138291538198;2,15349179055711;2,81551269591916;2,6457429063671;3,58569493702922;4,68951740963719;3,51893639947953;0,337723707332998;0,816496580927726;-4,87752696194408;0,0017986990418539;7;0,349815279538313;0,327880125085604;8,8819669997526
17031929;C6orf47;57827;1,49556864316032;1,95493373213888;4,91868301562591;0,000157531186220186;0,31232132980014;-2,04131522862101;1,49556864316032;2,7935665657758;1,29799792261548;2,9403122176299;2,87188194214662;2,56850553755088;1,2185108241354;0,833262237040331;1,84222070667071;0,372394403076123;0,816496580927726;4,33871305461505;0,0034014165396858;7;0,422173580614261;0,327880125085604;8,8819669997526
16788725;MIR329-1;574408;1,33960702893231;2,14968106974032;4,61476843323488;0,000292222238484228;0,447224983887461;-2,21507920111385;1,33960702893231;3,19335280347295;1,85374577454064;2,93689150547708;3,73273665345751;2,91043025148425;1,76554032475281;1,89541514506726;1,90028185380185;0,355527446740134;0,816496580927726;4,23093870434051;0,00388361257830781;7;0,387780810126557;0,327880125085604;8,8819669997526
16885428;RNU6-395P;---;-1,04671445468003;3,90691259246439;-4,57691615269953;0,000315804992152954;0,447224983887461;-2,23752215344265;-1,04671445468003;3,28966347854736;4,33637793322739;3,89452341692429;2,83517099055792;3,13929602815988;4,94311645444648;3,5205586011602;4,54545874407549;0,28009212260196;0,816496580927726;-6,28632660962595;0,000409524171426437;7;0,203928023437059;0,327880125085604;8,8819669997526
16743922;CARD17;440068;-1,2537737628117;2,03398260999252;-4,44995627428762;0,000410099978207774;0,508165135496708;-2,31409244468925;-1,2537737628117;1,60500511804333;2,85877888085502;1,54695679812085;1,50923722591038;1,75882133009875;2,2009824149907;3,28685640518244;3,08849782239192;0,345071477389917;0,816496580927726;-4,19867294602003;0,00404222173222877;7;0,365723409665553;0,327880125085604;8,8819669997526
16675323;RGS2;5997;-1,0821619796486;4,30124428586616;-4,26587850088228;0,000600428890634363;0,640309404730615;-2,42863220403743;-1,0821619796486;4,0788008276733;5,1609628073219;4,10902579839543;3,93944855518951;4,18792812943495;5,24372963045561;4,75405658964118;5,48510220186891;0,310691533834233;0,816496580927726;-4,61150102053804;0,00245062120837918;7;0,28740584219473;0,327880125085604;8,8819669997526
16806521;CHRFAM7A;89832;1,01154328154538;3,03102015933649;4,23075163747432;0,000645928986916791;0,640309404730615;-2,45095832940315;1,01154328154538;3,68323267452714;2,67168939298176;4,16883624062923;3,60915546670668;3,27170631624551;2,96963913629008;2,65945129925116;2,38597774340404;0,292827977726178;0,816496580927726;5,13791096857299;0,00134183795979742;7;0,241125713123715;0,327880125085604;8,8819669997526
17025294;LOC100129518//SOD2;100129518;-1,06886072057206;3,61879886642919;-4,11733707234949;0,000818196282227149;0,737343613247066;-2,52405426880731;-1,06886072057206;2,94355622158901;4,01241694216107;2,66887716689024;3,57074893855372;2,59104255932306;4,10085747334574;3,79572121586644;4,14067213727101;0,317943773548164;0,816496580927726;-4,29389826042455;0,00359343271475181;7;0,304870214978757;0,327880125085604;8,8819669997526
16696575;RNA5SP68;---;-0,975625257900642;2,62602574055261;-3,83029363400352;0,00149306637792635;0,836613565859222;-2,71575449109148;-0,975625257900642;1,85522479795935;2,83085005585999;1,36965955781145;1,99611392534889;2,19990091071771;2,93064539593493;2,7510991507942;2,81080562085084;0,311958336668036;0,816496580927726;-4,11318947988987;0,00449785614892061;7;0,290502549628688;0,327880125085604;8,8819669997526
16813265;RNU6-1111P;---;0,911596805356916;3,05446162385076;3,78367966845029;0,00164677679883534;0,836613565859222;-2,74775577848536;0,911596805356917;3,64758868067998;2,73599187532307;3,88834263941928;3,55985259642422;3,49457080619644;2,75682612870132;2,6033018867798;2,84784761048808;0,295076119008543;0,816496580927726;4,51527833032378;0,00274761817163672;7;0,247265712202016;0,327880125085604;8,8819669997526
16836311;NOG;9241;0,764157499277164;3,2129669577499;3,78177420188008;0,00165338834224171;0,836613565859222;-2,74906888951121;0,764157499277164;3,5754083157763;2,81125081649914;3,36496020056939;3,89014221608292;3,4711225306766;2,61305691974745;3,02008789099954;2,80060763875043;0,247475901049262;0,816496580927726;18,5485690535391;3,28384423411043e-07;7;0,0504566134171175;0,327880125085604;8,8819669997526
17052104;MIR4468//RCC2P3;100616226;-1,12965050138841;2,14586157436015;-3,778580630736;0,00166452925148045;0,836613565859222;-2,7512705400666;-1,1296505013884;1,67716557866771;2,80681608005611;1,21270866436942;2,28830521235658;1,53048285927714;2,84889091627319;3,15469995136255;2,4168573725326;0,366151683197216;0,816496580927726;-3,37779041394544;0,0117942026127292;7;0,409597248049605;0,327880125085604;8,8819669997526
16833780;AC087491.2;---;-0,794051590318302;2,36974073107834;-3,73327445624406;0,001830961341687;0,836613565859222;-2,78262122024258;-0,794051590318302;2,25622151031074;3,05027310062904;2,57645500360971;1,91062700509354;2,28158252222898;3,18140167206572;2,81591269768588;3,15350493213552;0,260498022382499;0,816496580927726;-7,34015275116093;0,000157250461124952;7;0,132491876645055;0,327880125085604;8,8819669997526
16926968;POM121L8P//AC008132.13;29797;1,06114612157118;2,85328426586586;3,68272967071059;0,00203644890978813;0,836613565859222;-2,81785005794799;1,06114612157118;3,46645141803706;2,40530529646589;2,36386739121766;3,50896547245988;4,52652139043366;2,26839287839265;2,44485136038236;2,50267165062265;0,352899448614866;0,816496580927726;3,39955060391552;0,0114494900207443;7;0,382295609512178;0,327880125085604;8,8819669997526
16774436;LINC00284;121838;-1,16480158628745;2,67085130647411;-3,6485075784965;0,00218856454816317;0,836613565859222;-2,84185068235212;-1,16480158628745;1,84558338542596;3,01038497171342;1,81974114243518;1,99998230703931;1,7170267068034;2,59429255433369;3,37817354516128;3,05868881564528;0,391005017339781;0,816496580927726;-3,10962323704444;0,017090229516705;7;0,458764506259045;0,327880125085604;8,8819669997526
16751438;NR4A1;3164;-1,05757004900922;3,67356471974034;-3,61539134689166;0,00234659944522701;0,836613565859222;-2,86518748857126;-1,05757004900922;3,566354187679;4,62392423668822;4,23204656873274;3,38071308913152;3,08630290517273;4,74133627912953;4,25534503064897;4,87509140028617;0,358260937581486;0,816496580927726;-3,29206334682658;0,013264798831854;7;0,393447317746777;0,327880125085604;8,8819669997526
16841660;RP11-385D13.1;---;-0,929690849619837;3,23865427911404;-3,60901537645842;0,00237831377871021;0,836613565859222;-2,86969303994426;-0,929690849619837;2,81396434968753;3,74365519930737;3,18549356472895;2,60575122876734;2,6506482555663;3,78909747547321;3,56888555522566;3,87298256722323;0,315497159551851;0,816496580927726;-3,80753153639135;0,00664923868744525;7;0,299047844822513;0,327880125085604;8,8819669997526
16861945;NCCRP1;342897;0,991384984435447;4,74367210026989;3,58095030457647;0,00252308935362657;0,836613565859222;-2,88957223421197;0,991384984435446;5,52632719617902;4,53494221174358;5,34889419432706;5,52917470008855;5,70091269412146;4,33204944462855;5,01278222950222;4,25999496109996;0,339070238900048;0,816496580927726;3,44199926961943;0,0108078578149386;7;0,352758260578071;0,327880125085604;8,8819669997526
16957312;GCSAM;257144;0,882321414592163;2,84899943128874;3,57643750261242;0,00254717817466431;0,836613565859222;-2,89277587723435;0,882321414592162;3,48947812710783;2,60715671251567;3,23638130663124;3,59138952496352;3,64066354972874;2,77050203531067;2,90369361096774;2,1472744912686;0,302149450857559;0,816496580927726;4,06337158398721;0,00478914792806599;7;0,265941375309899;0,327880125085604;8,8819669997526
16856182;TPGS1;91978;-0,879928860198992;2,97421518710478;-3,55349547521968;0,00267324275327705;0,836613565859222;-2,90909256287961;-0,879928860198991;2,48911334427822;3,36904220447721;2,11016135855562;2,95087574352528;2,40630293075375;3,32733675431936;3,82891411558698;2,95087574352528;0,303275568024056;0,816496580927726;-4,00875154132136;0,00513244802220841;7;0,268833911907381;0,327880125085604;8,8819669997526
17086555;CTSL3P;392360;-0,810009712829815;5,0659287421743;-3,5495317531608;0,0026956464636649;0,836613565859222;-2,91191668082102;-0,810009712829816;4,67457160310036;5,48458131593018;5,21312941947856;4,68626877220756;4,12431661761497;5,91835273477322;5,21137101201129;5,32402020100603;0,279489045472626;0,816496580927726;-4,91014376283335;0,00173297464734731;7;0,202041994997155;0,327880125085604;8,8819669997526
17016296;HIST1H2AA;221613;1,29616640953377;2,19896671674599;3,53512974184505;0,00277864014240568;0,836613565859222;-2,92219043537977;1,29616640953377;2,96643440097586;1,67026799144209;4,58641066077197;1,90999851929398;2,40289402286163;2,03732450004626;1,53852450944503;1,43495496483497;0,449056549114943;0,816496580927726;2,80142945942726;0,0264698206427069;7;0,566665406192698;0,327880125085604;8,8819669997526
17094074;RNU7-124P;---;-1,3965334688253;3,00692535953957;-3,52833637131572;0,00281866907003085;0,836613565859222;-2,92704325985049;-1,3965334688253;2,26570864807302;3,66224211689832;2,84648714193759;1,98379023871429;1,96684856356718;4,19320720821557;3,82495637355341;2,96856276892598;0,484760244962893;0,816496580927726;-2,7154128180343;0,0299636016137222;7;0,629884779327461;0,327880125085604;8,8819669997526
16819224;MT1M;4499;1,33204885527351;4,23656614059576;3,52711322254869;0,00282593723030241;0,836613565859222;-2,92791746894836;1,33204885527352;5,01022663596159;3,67817778068808;4,28869905666768;6,5178161159003;4,22416473531679;2,69240691346452;4,45872724424618;3,88339918435352;0,462536896607025;0,816496580927726;2,76158782714294;0,0280317630404955;7;0,590754343535434;0,327880125085604;8,8819669997526
16780317;CLDN10-AS1;100874194;-1,01475031140633;3,81309214895544;-3,52439691345552;0,00284214500177063;0,836613565859222;-2,92985936660673;-1,01475031140633;3,49200445409354;4,50675476549987;3,76027225477869;3,06598682541069;3,64975428209125;4,71691134871081;4,36624059175317;4,43711235603562;0,352630611748945;0,816496580927726;-3,25571099554792;0,013946773766283;7;0,381732359333313;0,327880125085604;8,8819669997526
16795366;SNORA79;677845;1,23297563163676;2,2993120589963;3,51307838881456;0,00291068587084427;0,836613565859222;-2,93795836214404;1,23297563163675;2,84443094266474;1,61145531102799;3,01863618339037;3,79082100255289;1,72383564205098;1,52843047652153;1,61083513939856;1,69510031716387;0,429845398897426;0,816496580927726;2,83961749982482;0,0250583399307215;7;0,531790137753088;0,327880125085604;8,8819669997526
16991460;KIF4B;285643;1,09906244761877;4,09322352674753;3,48449348284085;0,00309121849044854;0,836613565859222;-2,95846457382094;1,09906244761877;4,86713669534529;3,76807424772653;5,2120260098095;5,33917104485751;4,05021303136887;4,50767459499821;3,24403129297766;3,55251685520371;0,386303232503894;0,816496580927726;2,99368857215411;0,0201210130154307;7;0,449636314405144;0,327880125085604;8,8819669997526
16732752;LINC01059//AP000783.2;---;-0,91642822279435;2,27605699116042;-3,45815445560451;0,00326743419733257;0,836613565859222;-2,97742477528493;-0,91642822279435;1,92032357963394;2,83675180242829;1,9097102707534;1,64111824487063;2,21014222327777;2,62398060558912;2,4639623866579;3,42231241503785;0,32456351509889;0,816496580927726;-3,50412253908384;0,00993770411626726;7;0,320305797912918;0,327880125085604;8,8819669997526
16825295;NPIPB6;728741;1,01625344753665;4,637837813236;3,44576468568426;0,00335375257936539;0,836613565859222;-2,98636480377905;1,01625344753665;4,81105002515504;3,79479657761839;5,16369700542937;4,95489521346018;4,31455785657558;4,23046440984289;3,11196489196427;4,04196043104802;0,361211896759969;0,816496580927726;3,11535041667645;0,0169536949647383;7;0,399522054161844;0,327880125085604;8,8819669997526
16742744;RP11-258O13.1;---;-0,808713131525987;2,56805326275616;-3,44060157569347;0,00339039048597409;0,836613565859222;-2,99009428671673;-0,808713131525987;2,03247535805207;2,84118848957806;2,19106908162968;1,8240292491137;2,08232774341284;3,31987582207473;2,53254733370564;2,6711423129538;0,287876186321821;0,816496580927726;-4,35955123406237;0,00331599905756541;7;0,227194774665037;0,327880125085604;8,8819669997526
17100826;LOC100507395;100507395;0,760233844910847;4,11895261182674;3,43917317920576;0,00340059671867035;0,836613565859222;-2,99112647355968;0,760233844910845;4,51234852335372;3,75211467844288;4,65715394481094;4,33176347559089;4,54812814965934;3,51528412838459;3,64888319880937;4,09217670813466;0,270731496815142;0,816496580927726;5,38569957381394;0,00102408008318236;7;0,172882369291443;0,327880125085604;8,8819669997526
16689901;RP11-465K1.2;---;0,813630182801798;2,43287884988719;3,43234340435143;0,00344982148627557;0,836613565859222;-2,99606424388634;0,813630182801798;3,30745836155414;2,49382817875235;3,09445983659878;3,66106079499636;3,16685445306728;2,32412730506314;2,5573536429348;2,6000035882591;0,290323337790904;0,816496580927726;4,25571395807763;0,00376646074261267;7;0,234153282718755;0,327880125085604;8,8819669997526
16895382;MIR1301;100302246;1,04357677973571;2,77111392963516;3,42456359154578;0,00350675823094767;0,836613565859222;-3,00169377118404;1,04357677973571;3,22326508147053;2,17968830173483;3,11140931387153;3,33524033568986;3,22314559485021;2,1780921974117;2,71972903928608;1,6412436685067;0,373219908089878;0,816496580927726;3,0156726159965;0,01950516679807;7;0,423824291173037;0,327880125085604;8,8819669997526
16851230;ANKRD20A5P;440482;-1,03184175670705;2,66466344880214;-3,38861005353491;0,00378226975780304;0,836613565859222;-3,02777681537266;-1,03184175670705;2,20724595252954;3,23908770923659;1,75456288248424;2,87050358381535;1,99667139128904;3,2848812804933;3,0777889983631;3,35459284885338;0,372938425976852;0,816496580927726;-2,98572437417933;0,020349175938667;7;0,42326174195567;0,327880125085604;8,8819669997526
17052348;TMEM178B;100507421;0,73699491395312;4,61103548061018;3,3792313496955;0,00385761097337551;0,836613565859222;-3,03459851717036;0,73699491395312;5,01086771483974;4,27387280088663;5,16010194667713;4,89966153202715;4,97283966581496;4,67629291691283;3,90778258340611;4,23754290234093;0,267111259247492;0,816496580927726;5,65575550175273;0,000769860145986452;7;0,159595078115743;0,327880125085604;8,8819669997526
16723662;FJX1;24147;0,784804022712887;4,27381533271847;3,36876990295053;0,00394341061792784;0,836613565859222;-3,0422162921707;0,784804022712887;4,5543497675385;3,76954574482561;4,38869410734965;5,12331429885001;4,15104089641584;3,8109717299893;3,87996896650388;3,61769653798365;0,285322158994369;0,816496580927726;4,37372534836672;0,00325924764293132;7;0,219763388257571;0,327880125085604;8,8819669997526
17066083;PDGFRL;5157;1,03448091258884;2,8106006600078;3,36587248934804;0,00396750720033723;0,836613565859222;-3,04432769816043;1,03448091258884;3,50001699393882;2,46553608134998;2,49543092310732;4,57744256758425;3,42717749112488;2,04553819614208;2,2909308510069;3,06013919690095;0,376418059880541;0,816496580927726;2,94512818010737;0,0215555616737884;7;0,430193565361045;0,327880125085604;8,8819669997526
16778241;POSTN;10631;0,731266228199604;5,1047153964811;3,36528365470798;0,00397242214431978;0,836613565859222;-3,0447568776498;0,731266228199602;5,99338575809309;5,26211952989348;5,69358354177306;6,58242780151535;5,70414593099085;5,01578348101497;5,50986354643084;5,26071156223464;0,266133453967955;0,816496580927726;5,74683800442684;0,000700688337668069;7;0,155844755310561;0,327880125085604;8,8819669997526
17113523;RNU6-1323P;---;1,5450385432487;2,59313920245432;3,36316563146439;0,00399015111932632;0,836613565859222;-3,04630085772924;1,5450385432487;3,51840089018605;1,97336234693735;2,98921093672553;4,18560650857606;3,38038522525655;1,5467250879393;2,44692465424446;1,92643729862829;0,562647885742765;0,816496580927726;2,48073353543035;0,0421647947454895;7;0,7627897172027;0,327880125085604;8,8819669997526
16684854;TRIM62;55223;0,797702910695806;3,19040382950165;3,35400248984576;0,0040677611264086;0,836613565859222;-3,05298470628951;0,797702910695806;3,49490072236972;2,69719781167391;3,25693173452177;3,87020726044881;3,35756317213859;2,33307025845374;2,95354306128033;2,80498011528767;0,291288557992025;0,816496580927726;4,12477001899859;0,00443295907052645;7;0,236857459753846;0,327880125085604;8,8819669997526
16933437;MN1;4330;0,861770588040638;3,9956326909005;3,35221270579591;0,0040830942927783;0,836613565859222;-3,05429101211888;0,861770588040639;4,48828023209923;3,62650964405859;4,04280519634324;4,47052414382372;4,95151135613072;3,87102135955745;3,1454934177771;3,86301415484122;0,314851472937274;0,816496580927726;3,54772963458442;0,00937221659906366;7;0,297499870827253;0,327880125085604;8,8819669997526
16874922;SIGLEC14;100049587;0,883527715024961;3,12250169165822;3,3462055384495;0,00413497864224819;0,836613565859222;-3,0586773221696;0,883527715024961;3,75130339198769;2,86777567696273;3,73641699489436;4,16443472915941;3,35305845190929;3,04087319118317;2,76709789395595;2,79535594574906;0,323380027100951;0,816496580927726;3,40733627176698;0,0113288008401598;7;0,317578293247821;0,327880125085604;8,8819669997526
16841852;PLD6//FLCN//RP11-45M22.4;201164;0,745265384899051;3,54798701220372;3,33881198099251;0,00419973641658545;0,836613565859222;-3,06407988467552;0,74526538489905;4,25519656968373;3,50993118478468;4,56231084734888;3,97765412256715;4,22562473913517;3,89810669850405;3,03441054628325;3,59727630956675;0,273378663781318;0,816496580927726;5,01272449798846;0,00154302096768835;7;0,182088594405511;0,327880125085604;8,8819669997526
17022384;RNU6-653P;---;-1,28940801541734;2,08569046541939;-3,33679358704777;0,00421758906975244;0,836613565859222;-3,06555550092939;-1,28940801541734;1,53669850570261;2,82610652111995;1,47900062552702;1,37188734788791;1,75920754369289;3,3102464588814;3,22087495505349;1,94719814942496;0,473267468549288;0,816496580927726;-2,58998092873398;0,0359457827042448;7;0,609732618682073;0,327880125085604;8,8819669997526
17100655;MT-TW;---;-0,903275242137762;6,22177552862972;-3,33432429268164;0,00423953236051672;0,836613565859222;-3,06736119981249;-0,903275242137762;5,92309061536749;6,82636585750526;5,76916574182958;5,6695118780446;6,3305942262283;6,70695340475983;7,10213761507433;6,67000655268161;0,331785880183085;0,816496580927726;-3,28588940428373;0,0133780554082797;7;0,336676492769655;0,327880125085604;8,8819669997526
17075553;STC1;6781;0,788019531616872;7,45596348414116;3,33339221499588;0,00424784464678425;0,836613565859222;-3,06804291656304;0,788019531616872;8,20770274523149;7,41968321361462;8,89991411461088;8,39530903247091;7,32788508861269;7,98209963349402;7,2172282172851;7,05972179006474;0,289531749538018;0,816496580927726;4,16146846104396;0,00423398728649201;7;0,231918825995872;0,327880125085604;8,8819669997526
16881512;RNU6-111P;---;-1,09080112125756;2,38185175851208;-3,32545768980552;0,00431926262752711;0,836613565859222;-3,07384894090672;-1,09080112125756;1,75381159242909;2,84461271368665;2,24149905848873;1,28471715164127;1,73521856715729;2,63481125915324;2,98871279201819;2,91031408988851;0,40173510042358;0,816496580927726;-2,7870843266477;0,0270214099664472;7;0,479337157543155;0,327880125085604;8,8819669997526
16673296;RNA5SP64;---;0,910429944060347;2,66069795700653;3,29418601577149;0,00461251590003774;0,836613565859222;-3,09677903703204;0,910429944060348;3,31229929906514;2,40186935500479;3,77502541337468;2,7475193077551;3,41435317606564;2,05053730492773;2,69903697358795;2,45603378649869;0,338488597611299;0,816496580927726;3,17234859676778;0,0156565464710969;7;0,351488611902654;0,327880125085604;8,8819669997526
17014835;LOC101929523//XXyac-YX65C7_A.2;101929523;-0,782118037879908;4,20940082231596;-3,29342744165983;0,00461986933106263;0,836613565859222;-3,09733618851696;-0,782118037879908;3,69975653286021;4,48187457074012;3,28503139477106;3,99135005182139;3,82288815198819;4,02562214157637;4,41738559072525;5,00261597991874;0,290850511415399;0,816496580927726;-4,06519985085696;0,00477810000844454;7;0,235632955539527;0,327880125085604;8,8819669997526
16866065;ZNF773;374928;0,733861510494079;3,57073008836221;3,29185486069105;0,00463515055475635;0,836613565859222;-3,09849134286298;0,733861510494079;4,1123738519755;3,37851234148142;3,93985638810472;4,13744270750178;4,25982246031999;2,98411023583334;3,61729848042531;3,53412830818562;0,273035464601446;0,816496580927726;4,96799965262368;0,00162284228812064;7;0,180916502442716;0,327880125085604;8,8819669997526
16700498;SNRPD2P2;645339;-0,81472199129103;2,1465941970277;-3,28938392434799;0,00465926255360034;0,836613565859222;-3,10030676696577;-0,814721991291031;2,09932836690766;2,91405035819869;2,53455678962506;2,1039941122801;1,65943419881781;3,10485973502129;3,4249471824564;2,21234415711838;0,303347557899133;0,816496580927726;-3,70914249548591;0,00756335673191641;7;0,269018130648258;0,327880125085604;8,8819669997526
16930481;LOC101927257//RP4-591N18.2;101927257;0,735281209069284;2,22062521495103;3,27315862793395;0,00482070779801805;0,836613565859222;-3,11223894342899;0,735281209069285;2,86474689820716;2,12946568913788;3,38910831737122;2,82585455790744;2,37927781934282;2,36461791299716;1,911479949945;2,11229920447147;0,27512625943419;0,816496580927726;4,7909377449374;0,00198698088939709;7;0,18796568391852;0,327880125085604;8,8819669997526
17108764;DHRSX-IT1;---;-1,03934932576235;2,76675080417856;-3,27101388515051;0,00484245872772194;0,836613565859222;-3,11381765161381;-1,03934932576235;2,52381455792622;3,56316388368857;2,92281479713977;2,12879159384895;2,51983728278994;3,46298926032472;3,51131878240412;3,71518360833688;0,389156940632545;0,816496580927726;-2,79652660404063;0,0266569998795466;7;0,455185283942057;0,327880125085604;8,8819669997526
17006911;C2//XXbac-BPG116M5.17;717;0,816184042533133;4,26340596608857;3,26661211807233;0,00488740398486615;0,836613565859222;-3,11705876869565;0,816184042533133;4,94503491343855;4,12885087090542;5,210141454025;4,96899598661332;4,65596729967734;4,39899357877561;3,78427198483432;4,20328704910633;0,30601038142049;0,816496580927726;3,62474760642255;0,00845665368347829;7;0,275775675645092;0,327880125085604;8,8819669997526
16915671;LAMA5-AS1//RP11-157P1.5;101928158;0,81326195916972;2,86836697758722;3,26587753547095;0,00489494470088116;0,836613565859222;-3,11759979524641;0,81326195916972;3,11904975708986;2,30578779792014;3,37024999746229;3,10334721383096;2,88355205997633;1,966878519526;2,39623053329902;2,5542543409354;0,304983393520712;0,816496580927726;3,64605795275967;0,00822077556121493;7;0,273182276995103;0,327880125085604;8,8819669997526
16874512;SNAR-D;100170227;-1,37617384126971;3,28373985526168;-3,2504496674751;0,00505600295290039;0,849494191052569;-3,12897155663342;-1,37617384126971;2,69568834995762;4,07186219122732;3,39570760534424;2,82133711541831;1,8700203291103;3,56661711757261;4,54392918418789;4,10504027192147;0,518531903786584;0,816496580927726;-2,44905944483193;0,0441681416188294;7;0,688207817002988;0,327880125085604;8,8819669997526
17013773;AKAP12;9590;0,691718249404701;5,14466283295416;3,22143670022423;0,00537320280412018;0,870639332994651;-3,15040244226483;0,691718249404702;5,71367616735186;5,02195791794716;5,65614580651716;5,72727571672907;5,75760697880936;5,17425331664032;4,82433127423552;5,06728916296563;0,262981538127819;0,816496580927726;5,91640736094056;0,000589644636952273;7;0,143191353590584;0,327880125085604;8,8819669997526
16718047;CALHM2;51063;0,886071174012109;4,1323358142949;3,21882780988928;0,00540267148080395;0,870639332994651;-3,15233240131043;0,886071174012108;4,59050278918609;3,70443161517398;3,9509296405701;5,16110603837019;4,65947268861798;3,23436164744277;3,76043055892511;4,11850263915406;0,337144821082114;0,816496580927726;3,1135372517282;0,0169967942167392;7;0,348546054959483;0,327880125085604;8,8819669997526
17117706;AC015726.1;---;0,694570180387104;2,53129807915287;3,21507527537159;0,00544533830784509;0,870639332994651;-3,15510919999251;0,694570180387104;3,02899783779541;2,33442765740831;3,13187740034585;3,05648942287452;2,89862669016587;2,73184138701794;1,99700319298113;2,27443839222586;0,264588289041636;0,816496580927726;5,68036288724775;0,000750448903790544;7;0,149756500268736;0,327880125085604;8,8819669997526
17027504;MIR877;100126314;1,30388716984473;3,06270498337955;3,20122171494266;0,00560575646361696;0,882061330537063;-3,16536879624404;1,30388716984473;3,67646244448749;2,37257527464276;4,27917059073241;3,38032725318197;3,36988948954808;1,46176578860831;2,74435783251439;2,91160220280558;0,498849897427123;0,816496580927726;2,44041229248999;0,0447318932620356;7;0,654368579053195;0,327880125085604;8,8819669997526
16858941;IL27RA;9466;0,746337914837151;3,98157833764371;3,19133215855597;0,00572311804125422;0,885878759560394;-3,17270058576445;0,746337914837151;4,39603108394237;3,64969316910522;3,98214570606286;5,14235080351245;4,06359674225179;3,56591026099649;4,22572038106059;3,15744886525858;0,286423815544007;0,816496580927726;4,09914834229253;0,0045779419765425;7;0,22299108429208;0,327880125085604;8,8819669997526
17087517;NR4A3;8013;-0,897717371941035;2,84808374700704;-3,18424194538461;0,00580874804513523;0,885878759560394;-3,17796099174797;-0,897717371941035;2,83829298106821;3,73601035300925;3,08007499066923;2,60683686604344;2,82796708649197;3,99438388308709;3,8744544108838;3,33919276505685;0,34528618305451;0,816496580927726;-3,00252898906609;0,0198709200963589;7;0,366182891571647;0,327880125085604;8,8819669997526
16924061;DIP2A-IT1;100862692;-1,18754930095848;3,0629547102212;-3,16693979370212;0,00602304976402705;0,887245884208184;-3,19081152371173;-1,18754930095848;2,0528965913412;3,24044589229968;2,54942683088582;1,39901994297066;2,21024300016712;4,10717078453002;3,38117901748527;2,23298787488373;0,459258783121144;0,816496580927726;-2,48655838209101;0,0418066865639835;7;0,584922890348741;0,327880125085604;8,8819669997526
16722844;NELL1;4745;-0,779130686718526;4,11884969702769;-3,15638970868597;0,00615752679313685;0,887245884208184;-3,1986565309709;-0,779130686718525;3,60934652128386;4,38847720800239;3,91097813726266;3,4259048686354;3,49115655795352;4,4816396599874;4,40398870297544;4,27980326104432;0,302318915207583;0,816496580927726;-3,58226427580742;0,00894906143973829;7;0,266377977511791;0,327880125085604;8,8819669997526
16782331;CTD-2201G16.1;---;-1,16728025864099;2,21856630864177;-3,15066242383056;0,00623176427755623;0,887245884208184;-3,20291822574808;-1,16728025864099;1,65604792556364;2,82332818420464;2,32205205466814;1,26270513249724;1,38338658952556;2,24051092263506;3,74757152516656;2,48190210481229;0,453752359958982;0,816496580927726;-2,48590822071504;0,0418465022371087;7;0,575089819621737;0,327880125085604;8,8819669997526
16873645;SNAR-C2//SNAR-C4//SNAR-C5//SNAR-C1//SNAR-C3//SNAR-B2//SNAR-B1//SNAR-E//MCAM;100170218;1,29029383742521;3,71201298951649;3,14982269034607;0,00624272281761228;0,887245884208184;-3,20354324493777;1,29029383742521;4,03507960742506;2,74478576999986;4,17737413613019;3,75028462786238;4,17758005828261;2,82523646065077;3,26097321457943;2,14814763476937;0,501704672081421;0,816496580927726;2,3969003403164;0,0476828225690533;7;0,65930182135403;0,327880125085604;8,8819669997526
